reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
675b5f87-2339-40c7-b641-ea33792b1d93,Chhotelal Sah,https://play-lh.googleusercontent.com/a/ACg8ocIrSLrEUtO772wYARy_WqbH29B-WqmenJRXXQSqjQV3qgCYRQ=mo,good,5.0,0.0,25.07.11.0,2025-08-05 09:20:34,,,25.07.11.0,PhonePe
5a61468d-afc9-453f-8a47-29bf0c540969,Hminga Khawbung,https://play-lh.googleusercontent.com/a-/ALV-UjVPhMLngauj_TGaAhJG4N6B_0p5vdTi5I2sEV8P0SwyNgVpBJAQ,excellent app,4.0,0.0,25.07.11.0,2025-08-05 09:20:22,,,25.07.11.0,PhonePe
217c6d78-f559-4f72-8bb3-4a530c473187,Vsrilalitha Chary,https://play-lh.googleusercontent.com/a/ACg8ocJ8v7pArtp69QCElpiQp12CYmKV6x2tCz4bFlSHx0L6opQNQg=mo,good,5.0,0.0,25.06.27.0,2025-08-05 09:19:51,,,25.06.27.0,PhonePe
0bbae51c-e1c0-4404-8a0d-0b8677d0f2ba,Akshay Morkane,https://play-lh.googleusercontent.com/a/ACg8ocJnswnetA3bua9vrSWY0PlJ6R9oPU6VEwPICoyxdp6g3F5xCA=mo,ok,5.0,0.0,25.07.11.0,2025-08-05 09:19:10,,,25.07.11.0,PhonePe
21810899-1ceb-44c2-859b-b0a3d0c84a93,Eran Jamra,https://play-lh.googleusercontent.com/a/ACg8ocIgnZiCaA6d9s07jRNBFN5D41oUkbZA_wDksN1VolQzO9l5Ow=mo,BEST PHONPE ❤️‍🔥,5.0,0.0,,2025-08-05 09:16:54,,,,PhonePe
706586bc-3678-46be-9965-ad9671b7232e,Arul Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjV6_CZHFiv34pkMS3XcjdigeQA0UQhUQG-8BvhRkgDIFxZP5BmJHw,good,4.0,0.0,25.07.11.0,2025-08-05 09:15:52,,,25.07.11.0,PhonePe
862192a8-34ff-4bcb-9246-5e9c05bb1136,Rohit Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjUZXuQo9_XsT3b9eZVx3UxD0eMKalDq4-jONQSlJDabWGrOr7g,very nice,5.0,0.0,25.06.27.0,2025-08-05 09:15:27,,,25.06.27.0,PhonePe
aabc77ba-7cdf-40dd-95fc-c84e869e7345,Yesuratnam Javadala,https://play-lh.googleusercontent.com/a-/ALV-UjW0JrOdujeDFC21VYLVbE8GTlo9SoFwYw_YQCKz3eaFxjD36Bd1,Nice,5.0,0.0,25.06.27.0,2025-08-05 09:15:12,,,25.06.27.0,PhonePe
657ccb5c-37c0-40e9-bf04-c3a42573544b,dharmraj yadav,https://play-lh.googleusercontent.com/a-/ALV-UjUDQ1GXGXZsitTkjxFzgXSnisiA0mOpDvt5f3d5yV53jS-NdkCs,good,5.0,0.0,25.07.11.0,2025-08-05 09:13:05,,,25.07.11.0,PhonePe
9f1be546-fb16-41cf-9271-ee8cd70cf987,Sunil Maji,https://play-lh.googleusercontent.com/a/ACg8ocKH01X7yXpJVdOamEI-8JfplaL5LjpnpKwkvbLSxGdhtNedkg=mo,excellent,5.0,0.0,25.06.13.0,2025-08-05 09:12:13,,,25.06.13.0,PhonePe
16fa4543-7c56-4e46-94f9-958d085998f6,Sudip Thapa,https://play-lh.googleusercontent.com/a-/ALV-UjWeG2x4q0Im7JyMo8gQJoBpO_9EkrRKnEcojxkHIJ6H9OOJysPp,well,5.0,0.0,25.06.27.0,2025-08-05 09:11:07,,,25.06.27.0,PhonePe
fc772a01-b6f2-4eae-8b7d-e8978ee8c936,Maha Veer,https://play-lh.googleusercontent.com/a/ACg8ocLQRjyV5CIXLev4bO15P96jt2DZ5l0KXTWvqiCLIPGYG7z_kQ=mo,good,4.0,0.0,,2025-08-05 09:08:55,,,,PhonePe
263e8b59-57ca-4ac8-86c4-eed9c2ae27ab,Gudipati Surenderreddy,https://play-lh.googleusercontent.com/a/ACg8ocIcs2t93qFt8FBSlv76vQkLGT8GNxrUSAtyu4z4kKtnUoGbgg=mo,not bad,4.0,0.0,25.06.27.0,2025-08-05 09:08:29,,,25.06.27.0,PhonePe
